City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
216,binzhou,37.3667,118.0167,19.75,93,100,1.42,CN,1693515034
217,berbera,10.4396,45.0143,31.51,64,17,5.33,SO,1693515034
218,hadibu,12.65,54.0333,25.85,83,9,5.58,YE,1693515035
219,san julian,21.0167,-102.1667,23.07,48,67,2.54,MX,1693515035
220,smithers,54.7804,-127.1743,19.18,52,40,5.66,CA,1693515036
221,tateyama,34.9833,139.8667,24.5,84,81,3.93,JP,1693515036
222,cole harbour,44.6724,-63.4751,18.71,66,40,8.75,CA,1693515037
223,jiazi,22.8779,116.067,25.16,91,100,15.22,CN,1693515037
224,bel ombre,-4.6167,55.4167,25.91,78,20,5.14,SC,1693515037
225,udachny,66.4167,112.4,1.36,80,40,6.29,RU,1693515034
226,kokkola,63.8385,23.1307,16.09,95,100,3.6,FI,1693515038
227,ouarzazat,30.9189,-6.8934,34.16,8,0,2.57,MA,1693515038
228,hlusk,52.903,28.6845,15.19,96,22,1.96,BY,1693515039
229,arraial do cabo,-22.9661,-42.0278,21.92,83,20,3.09,BR,1693515039
230,tonekabon,36.8163,50.8738,22.97,74,2,0.74,IR,1693515040
231,anadyr,64.75,177.4833,9.28,66,0,11.0,RU,1693515040
232,vernon,50.2581,-119.2691,19.78,78,97,0.51,CA,1693515040
233,cabedelo,-6.9811,-34.8339,27.37,80,11,5.61,BR,1693515041
234,al qusayr,34.5091,36.5798,24.69,62,0,0.9,SY,1693515041
235,puntarenas,9.9763,-84.8384,30.22,73,100,3.38,CR,1693515042
236,as sulayyil,20.4607,45.5779,36.14,19,27,4.91,SA,1693515042
237,uturoa,-16.7333,-151.4333,24.1,71,83,4.06,PF,1693515043
238,ndofane,13.9167,-15.9333,25.62,88,5,3.34,SN,1693515043
239,juan griego,11.0817,-63.9655,26.07,83,3,8.23,VE,1693515043
240,as saffaniyah,27.9708,48.73,33.03,34,0,4.16,SA,1693515044
241,grantsville,40.5999,-112.4644,35.97,28,0,3.09,US,1693515044
242,lakhipur,26.0299,90.3041,27.1,78,14,2.06,IN,1693515044
243,richmond,37.5538,-77.4603,27.3,53,75,4.63,US,1693514982
244,crane,31.3974,-102.3501,34.69,19,0,2.05,US,1693515045
245,tanaina,61.6269,-149.4281,12.89,84,100,7.2,US,1693515046
246,atafu village,-8.5421,-172.5159,28.53,71,46,7.07,TK,1693515046
247,birao,10.2849,22.7882,21.61,91,68,1.91,CF,1693515046
248,saint-francois,46.4154,3.9054,17.69,77,0,0.51,FR,1693515047
249,podporozh'ye,60.9112,34.1706,19.29,80,8,3.93,RU,1693515047
250,iskateley,67.6803,53.1512,9.68,81,33,2.13,RU,1693514981
251,torres,-29.3353,-49.7269,21.03,80,50,1.44,BR,1693515048
252,chengde,40.9725,117.9361,13.92,88,0,1.46,CN,1693515048
253,anar darah,32.7587,61.654,25.32,26,6,4.75,AF,1693515049
254,awjilah,29.1081,21.2869,31.08,22,0,3.57,LY,1693515049
255,kumi,36.1136,128.336,22.82,90,83,1.85,KR,1693515050
256,burang,30.25,81.1667,9.91,82,14,0.94,CN,1693515050
257,sidareja,-7.4846,108.7923,20.13,91,61,1.04,ID,1693515050
258,mo i rana,66.3128,14.1428,12.96,91,75,1.03,NO,1693515051
259,constantia,44.1833,28.65,25.39,61,83,4.14,RO,1693515051
260,antofagasta,-23.65,-70.4,17.6,71,40,2.74,CL,1693515051
261,chibougamau,49.9168,-74.3659,15.79,51,20,7.72,CA,1693515052
262,nago,26.5881,127.9761,29.47,89,99,6.42,JP,1693515053
263,tidjikja,18.5564,-11.4271,34.49,41,84,5.28,MR,1693515053
264,aurangabad,19.8833,75.3333,24.18,68,10,2.55,IN,1693515053
265,taulaga,-11.0553,-171.0883,27.7,79,95,7.11,AS,1693515054
266,shitanjing,39.2342,106.3439,21.78,34,95,1.69,CN,1693515054
267,vilani,56.5525,26.9245,15.05,98,14,3.11,LV,1693515054
268,bamboo flat,11.7,92.7167,25.05,94,100,4.63,IN,1693515055
269,sao joao da barra,-21.6403,-41.0511,24.05,82,82,4.98,BR,1693515055
270,saint-philippe,-21.3585,55.7679,18.77,82,80,4.14,RE,1693515055
271,kingscliff,-28.2667,153.5667,13.76,100,0,1.54,AU,1693515056
272,jwaneng,-24.6004,24.7303,16.09,24,0,4.67,BW,1693515056
273,haiku-pauwela,20.9219,-156.3051,29.01,37,20,9.26,US,1693515056
274,porto novo,6.4965,2.6036,25.9,90,99,2.8,BJ,1693515057
275,valdivia,-39.8142,-73.2459,9.05,99,100,1.29,CL,1693515057
276,inari,68.906,27.0288,14.11,88,100,2.34,FI,1693515057
277,kuytun,54.3419,101.5036,15.33,78,97,1.12,RU,1693515058
278,las tablas,7.7667,-80.2833,29.92,72,100,2.29,PA,1693514802
279,salinopolis,-0.6136,-47.3561,27.72,72,0,6.57,BR,1693514952
280,new norfolk,-42.7826,147.0587,7.18,92,21,1.27,AU,1693515059
281,zemio,5.0314,25.1361,20.14,97,90,1.6,CF,1693515059
282,prince rupert,54.3161,-130.3201,17.05,93,100,4.12,CA,1693515060
283,nagqu,31.5,92.0,-1.11,66,0,1.53,CN,1693515060
284,goundam,16.4145,-3.6708,34.23,39,100,3.44,ML,1693515061
285,freetown,8.484,-13.2299,26.02,85,98,2.83,SL,1693515061
286,lompoc,34.6391,-120.4579,31.12,73,75,4.63,US,1693515061
287,xining,36.6167,101.7667,8.43,84,31,1.31,CN,1693515062
288,muynoq,43.7683,59.0214,20.48,53,18,2.64,UZ,1693515062
289,shahba,32.8551,36.629,23.31,44,0,3.6,SY,1693515062
290,preobrazheniye,42.9019,133.9064,18.34,92,100,2.52,RU,1693515063
291,leava,-14.3,-178.1667,27.32,77,81,8.93,WF,1693515063
292,oliver,49.1831,-119.5524,22.95,40,100,2.57,CA,1693515064
293,ericeira,38.9627,-9.4156,20.55,84,10,6.39,PT,1693515064
294,vilyuchinsk,52.9306,158.4028,12.15,70,100,3.13,RU,1693515064
295,howard springs,-12.497,131.047,20.95,77,35,2.22,AU,1693514924
296,tazovsky,67.4667,78.7,4.84,64,82,3.66,RU,1693515065
297,kupang,-10.1667,123.5833,21.32,88,64,2.57,ID,1693515065
298,lihue,21.9789,-159.3672,29.58,67,100,6.17,US,1693515066
299,kruisfontein,-34.0033,24.7314,12.65,77,100,10.06,ZA,1693515066
300,alesund,62.4723,6.1549,14.63,87,75,3.09,NO,1693515066
301,naryn,41.4287,75.9911,12.6,62,7,1.76,KG,1693515067
302,noyabrsk,63.1994,75.4507,10.12,79,98,7.81,RU,1693515067
303,tarko-sale,64.9225,77.785,7.66,71,100,5.01,RU,1693515067
304,meadow lake,34.8014,-106.5436,35.54,24,1,4.27,US,1693515068
305,palmer,42.1584,-72.3287,24.65,45,40,6.69,US,1693515068
306,puerto aysen,-45.4,-72.7,6.02,87,100,3.6,CL,1693515069
307,juneau,58.3019,-134.4197,17.34,73,75,3.09,US,1693514923
308,shimoda,34.6667,138.95,25.06,85,94,1.88,JP,1693515069
309,pointe-a-pitre,16.2422,-61.5343,30.59,74,40,4.63,GP,1693515070
310,huruta,8.15,39.35,16.55,71,83,0.97,ET,1693515070
311,al mahwit,15.4701,43.5448,18.4,60,27,1.36,YE,1693515071
312,shalqar,47.8333,59.6,16.48,41,0,5.1,KZ,1693515071
313,visby,57.6409,18.296,14.46,100,75,2.57,SE,1693515071
314,sierra grande,-41.606,-65.3557,12.29,41,100,13.19,AR,1693515072
315,richards bay,-28.783,32.0377,20.78,70,0,6.37,ZA,1693515072
316,guerrero negro,27.9769,-114.0611,30.35,54,30,3.55,MX,1693514951
317,slavutych,51.5196,30.7343,19.0,90,98,0.89,UA,1693515073
318,cholapuram,9.3667,77.5833,28.01,72,64,1.67,IN,1693515073
319,cumnock,55.4544,-4.2664,14.5,91,100,2.36,GB,1693515073
320,lata,40.1629,-8.3327,14.95,91,1,1.01,PT,1693515074
321,klyuchi,52.2667,79.1667,13.67,52,76,3.42,RU,1693515074
322,enewetak,11.3474,162.3373,28.86,76,64,6.46,MH,1693515075
323,san luis de la loma,17.2706,-100.8939,30.71,68,66,2.72,MX,1693515044
324,gadzhiyevo,69.2551,33.3362,13.53,89,100,6.07,RU,1693515075
325,kutum,14.2,24.6667,23.72,55,100,0.62,SD,1693515076
326,okha,53.5739,142.9478,12.97,97,95,4.57,RU,1693515076
327,gamba,-2.65,10.0,22.42,93,50,2.61,GA,1693515076
328,ulladulla,-35.35,150.4667,10.45,86,51,3.67,AU,1693514964
329,namibe,-15.1961,12.1522,19.15,85,90,3.45,AO,1693515077
330,waddan,29.1614,16.139,32.52,25,71,3.19,LY,1693515077
331,bunda,-2.05,33.8667,21.78,65,56,2.99,TZ,1693515078
332,kyongsong,41.5878,129.6061,17.53,84,1,2.28,KP,1693515078
333,tual,-5.6667,132.75,24.91,81,57,8.59,ID,1693515079
334,levuka,50.1834,-105.4011,22.85,35,75,2.57,CA,1693515079
335,duba,27.3513,35.6901,32.27,47,0,0.93,SA,1693515079
336,taltal,-25.4,-70.4833,16.74,73,23,0.72,CL,1693515080
337,jaguaribe,-5.8906,-38.6219,31.55,27,0,2.67,BR,1693515080
338,sosnovo-ozerskoye,52.5249,111.5418,10.37,67,96,2.01,RU,1693515080
339,melo,-32.3667,-54.1833,15.03,72,35,2.99,UY,1693515081
340,nemuro,43.3236,145.575,19.83,97,100,6.91,JP,1693515081
341,bandarbeyla,9.4942,50.8122,25.98,76,78,11.9,SO,1693515081
342,beaufort west,-32.3567,22.583,12.11,61,28,6.54,ZA,1693515082
343,lebu,-37.6167,-73.65,10.36,72,100,3.04,CL,1693515082
344,petrosino,37.7077,12.4999,24.93,64,3,4.28,IT,1693515082
345,howrah,22.5892,88.3103,29.0,89,75,2.57,IN,1693514814
346,hotan,37.0997,79.9269,24.28,18,0,0.87,CN,1693515083
347,dalbandin,28.8947,64.4101,31.0,37,0,4.66,PK,1693515083
348,rongelap,11.1635,166.8941,28.4,75,80,5.68,MH,1693515084
349,huilong,31.8111,121.655,23.85,78,100,4.67,CN,1693515084
350,ceres,37.5949,-120.9577,37.67,25,0,3.6,US,1693515084
351,mana,5.6592,-53.7767,28.15,79,33,4.64,GF,1693515085
352,staraya stanitsa,48.35,40.2833,19.89,27,2,2.88,RU,1693515085
353,gwadar,25.1216,62.3254,25.84,85,50,3.37,PK,1693515086
354,sanming,26.2486,117.6186,24.44,97,100,1.57,CN,1693515002
355,utrik,11.2278,169.8474,28.18,79,71,5.18,MH,1693515087
356,muisne,0.6,-80.0333,26.29,78,83,5.16,EC,1693515087
357,akureyri,65.6835,-18.0878,10.96,76,20,3.09,IS,1693515087
358,bayanhongor,46.7167,100.1167,8.67,81,45,0.35,MN,1693515088
359,nova vicosa,-17.8919,-39.3719,22.91,88,96,4.98,BR,1693515088
360,arteche,12.2645,125.4048,27.15,79,33,4.25,PH,1693515089
361,benevento,41.2179,14.7464,19.03,81,41,0.72,IT,1693515089
362,geraldton,-28.7667,114.6,19.23,94,100,2.06,AU,1693515089
363,ambatofinandrahana,-20.55,46.8,11.94,83,40,1.5,MG,1693515090
364,volodarskiy,46.4013,48.5409,17.97,52,1,2.67,RU,1693515091
365,vadstena,58.4486,14.8897,14.96,81,100,3.01,SE,1693515091
